,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,undp_hdi_lost_data,gle_cgdpc_lost_data,imf_pop_lost_data,wef_imort_lost_data,who_alc2000_lost_data,who_tobt_lost_data,wdi_exph_lost_data
171,THA,SouthEastAsia,9295.5703,0.73799998,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166,False,False,False,False,False,False,False
134,PRY,LatAm,4812.9199,0.69199997,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756,False,False,False,False,False,False,False
49,DMA,Caribbean,12613.72,0.72399998,,,5.46,,5.485832691192627,False,False,True,True,False,True,False
44,CUB,LatAm,5899.9399,0.773,,,4.369999900000001,36.099998,11.05880069732666,False,False,True,True,False,False,False
66,KIR,Pacific,1532.65,0.58600003,0.1070000007748604,,0.52999997,54.0,10.21295070648193,False,False,False,True,False,False,False
174,TTO,Caribbean,22089.16,0.77899998,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375,False,False,False,False,False,True,False
159,SOM,SubSaharian,1436.74,,,,0.0,,,True,False,True,True,False,True,True
51,ECU,LatAm,7259.52,0.73900002,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127,False,False,False,False,False,False,False
30,CAN,WesternDem,36577.078,0.91900003,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,False,False,False,False,False,False,False
25,MMR,SouthEastAsia,5733.3701,0.55199999,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288,False,False,False,False,False,False,False
24,BGR,EastEurope,13967.45,0.792,7.202000141143799,10.5,12.03,36.799999,8.442913055419924,False,False,False,False,False,False,False
5,ATG,Caribbean,12257.71,0.78399998,,,8.5600004,,5.5416831970214835,False,False,True,True,False,True,False
34,TCD,SubSaharian,1651.05,0.39399999,,89.4000015258789,0.63999999,,3.6211643218994136,False,False,True,False,False,True,False
117,OMN,NorthAfrica,26158.73,0.79500002,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,False,False,False,False,False,False,False
120,NPL,SouthAsia,1462.08,0.55500001,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375,False,False,False,False,False,False,False
46,CZE,EastEurope,23847.08,0.875,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594,False,False,False,False,False,False,False
27,BLR,EastEurope,17780.641,0.79799998,9.468000411987305,,13.94,27.9,5.687721729278565,False,False,False,True,False,False,False
59,FRA,WesternDem,34007.898,0.89399999,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756,False,False,False,False,False,False,False
61,GAB,SubSaharian,14525.28,0.69400001,,42.400001525878906,8.8599997,,3.437471628189087,False,False,True,False,False,True,False
189,UZB,EastEurope,7370.7202,0.69700003,29.74600028991699,,2.8299999,13.3,5.838521957397461,False,False,False,True,False,False,False
146,LCA,Caribbean,11095.8,0.73500001,0.1669999957084656,,9.9700003,,6.719041347503662,False,False,False,True,False,True,False
188,URY,LatAm,12804.84,0.79400003,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914,False,False,False,False,False,False,False
128,FSM,Pacific,2624.05,0.63700002,0.1019999980926514,,1.58,,13.7069149017334,False,False,False,True,False,True,False
54,ETH,SubSaharian,900.7700199999999,0.44100001,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,False,False,False,False,False,False,False
23,BRN,SouthEastAsia,46103.84,0.86400002,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,False,False,False,False,False,False,False
75,ISL,WesternDem,31313.609,0.91900003,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707,False,False,False,False,False,False,False
47,BEN,SubSaharian,1413.05,0.48100001,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,False,False,False,False,False,False,False
38,COL,LatAm,8761.1396,0.72399998,47.6619987487793,15.100000381469732,4.380000099999999,11.6,7.201298713684082,False,False,False,False,False,False,False
123,NZL,WesternDem,26481.369,0.91299999,4.554999828338623,4.699999809265137,9.069999699999999,17.6,11.02960968017578,False,False,False,False,False,False,False
74,HUN,EastEurope,18310.811,0.83399999,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675,False,False,False,False,False,False,False
142,ROU,EastEurope,14563.14,0.79799998,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465,False,False,False,False,False,False,False
152,SRB,EastEurope,11343.92,0.77499998,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084,False,False,False,False,False,False,False
28,KHM,SouthEastAsia,1927.0601,0.55800003,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,False,False,False,False,False,False,False
186,USA,WesternDem,47769.699,0.91799998,318.7890014648438,6.0,8.819999699999999,18.1,17.140754699707028,False,False,False,False,False,False,False
136,PHL,SouthEastAsia,3953.1001,0.67900002,100.1490020751953,23.5,4.52,26.700001,4.709985256195068,False,False,False,False,False,False,False
165,SUR,Caribbean,6049.1499,0.72299999,0.546999990940094,18.5,6.3200002,,5.687469959259032,False,False,False,False,False,True,False
155,SGP,SouthEastAsia,54268.148,0.92400002,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,False,False,False,False,False,False,False
36,CHN,EastAsia,9283.3799,0.73400003,,12.100000381469732,5.7800002,25.9,5.548227787017822,False,False,True,False,False,False,False
183,EGY,NorthAfrica,5598.2598,0.68800002,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385,False,False,False,False,False,False,False
104,MYS,SouthEastAsia,12284.27,0.787,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981,False,False,False,False,False,False,False
124,NIC,LatAm,2527.1001,0.64200002,5.946000099182129,20.60000038146973,3.55,,9.040139198303224,False,False,False,False,False,True,False
176,TUN,NorthAfrica,6912.2798,0.72299999,,13.800000190734858,1.39,,7.003858089447022,False,False,True,False,False,True,False
10,BHS,Caribbean,21672.029,0.79000002,0.3560000061988831,,9.4499998,,7.7423648834228525,False,False,False,True,False,True,False
98,LBY,NorthAfrica,4102.8398,0.71899998,6.265999794006348,13.199999809265142,0.0,,4.968935012817383,False,False,False,False,False,True,False
57,FJI,Pacific,3848.72,0.73400003,0.8799999952316284,,,26.5,4.487498760223389,False,False,False,True,True,False,False
141,QAT,NorthAfrica,104049.44,0.85500002,2.045000076293945,6.300000190734862,1.15,,2.18706226348877,False,False,False,False,False,True,False
26,BDI,SubSaharian,663.5700099999999,0.40599999,,66.9000015258789,4.1599998,,7.535565376281737,False,False,True,False,False,True,False
102,MDG,SubSaharian,822.62,0.51099998,,40.900001525878906,0.87,,3.041355133056641,False,False,True,False,False,True,False
179,TUV,Pacific,3174.05,,0.0109999999403954,,1.34,,16.5366382598877,True,False,False,True,False,True,False
20,BRA,LatAm,9815.2402,0.75400001,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576,False,False,False,False,False,False,False
140,TLS,SouthEastAsia,1957.8101,0.60299999,1.146000027656555,47.79999923706055,0.5,,1.4753034114837649,False,False,False,False,False,True,False
